Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
MTURN	maturin, neural progenitor differentiation regulator homolog	Q8N3F0	222166	ENSG00000180354
MTUS1	microtubule associated scaffold protein 1	Q9ULD2	57509	ENSG00000129422
MTUS2	microtubule associated scaffold protein 2	Q5JR59	23281	ENSG00000132938
MTUS2-AS1	MTUS2 antisense RNA 1			ENSG00000179141
MTUS2-AS2	MTUS2 antisense RNA 2			ENSG00000236758
MTX1	metaxin 1	Q13505	4580	ENSG00000173171
MTX1P1	metaxin 1 pseudogene 1		4581	ENSG00000236675
MTX2	metaxin 2	O75431	10651	ENSG00000128654
MTX3	metaxin 3	Q5HYI7	345778	ENSG00000177034
MUC1	mucin 1, cell surface associated	P15941	4582	ENSG00000185499
MUC2	mucin 2, oligomeric mucus/gel-forming	Q02817	4583	ENSG00000198788
MUC3A	mucin 3A, cell surface associated	Q02505	4584	ENSG00000169894
MUC3B	mucin 3B, cell surface associated	Q9H195	57876	
MUC4	mucin 4, cell surface associated	Q99102	4585	ENSG00000145113
MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	P98088	4586	ENSG00000215182
MUC5B	mucin 5B, oligomeric mucus/gel-forming	Q9HC84	727897	ENSG00000117983
MUC5B-AS1	MUC5B antisense RNA 1			ENSG00000255177
MUC6	mucin 6, oligomeric mucus/gel-forming	Q6W4X9	4588	ENSG00000184956
MUC7	mucin 7, secreted	Q8TAX7	4589	ENSG00000171195
MUC8	mucin 8		100129528	
MUC12	mucin 12, cell surface associated	Q9UKN1	10071	ENSG00000205277
MUC13	mucin 13, cell surface associated	Q9H3R2	56667	ENSG00000173702
MUC15	mucin 15, cell surface associated	Q8N387	143662	ENSG00000169550
MUC16	mucin 16, cell surface associated	Q8WXI7	94025	ENSG00000181143
MUC17	mucin 17, cell surface associated	Q685J3	140453	ENSG00000169876
MUC19	mucin 19, oligomeric	Q7Z5P9	283463	ENSG00000205592
MUC20	mucin 20, cell surface associated	Q8N307	200958	ENSG00000176945
MUC20-OT1	MUC20 overlapping transcript			ENSG00000242086
MUC20P1	mucin 20, cell surface associated pseudogene 1		651714	ENSG00000224769
MUC21	mucin 21, cell surface associated	Q5SSG8	394263	ENSG00000204544
MUC22	mucin 22	E2RYF6	100507679	ENSG00000261272
MUCL1	mucin like 1	Q96DR8	118430	ENSG00000172551
MUCL3	mucin like 3	Q3MIW9	135656	ENSG00000168631
MUL1	mitochondrial E3 ubiquitin protein ligase 1	Q969V5	79594	ENSG00000090432
MUPP	major urinary protein, pseudogene		100129193	ENSG00000237906
MUS81	MUS81 structure-specific endonuclease subunit	Q96NY9	80198	ENSG00000172732
MUSK	muscle associated receptor tyrosine kinase	O15146	4593	ENSG00000030304
MUSTN1	musculoskeletal, embryonic nuclear protein 1	Q8IVN3	389125	ENSG00000272573
MUTYH	mutY DNA glycosylase	Q9UIF7	4595	ENSG00000132781
MVB12A	multivesicular body subunit 12A	Q96EY5	93343	ENSG00000141971
MVB12B	multivesicular body subunit 12B	Q9H7P6	89853	ENSG00000196814
MVD	mevalonate diphosphate decarboxylase	P53602	4597	ENSG00000167508
MVK	mevalonate kinase	Q03426	4598	ENSG00000110921
MVP	major vault protein	Q14764	9961	ENSG00000013364
MX1	MX dynamin like GTPase 1	P20591	4599	ENSG00000157601
MX2	MX dynamin like GTPase 2	P20592	4600	ENSG00000183486
MXD1	MAX dimerization protein 1	Q05195	4084	ENSG00000059728
MXD3	MAX dimerization protein 3	Q9BW11	83463	ENSG00000213347
MXD4	MAX dimerization protein 4	Q14582	10608	ENSG00000123933
MXI1	MAX interactor 1, dimerization protein	P50539	4601	ENSG00000119950
MXRA5	matrix remodeling associated 5	Q9NR99	25878	ENSG00000101825
MXRA5Y	matrix remodeling associated 5 Y-linked (pseudogene)		286544	ENSG00000235649
MXRA7	matrix remodeling associated 7	P84157	439921	ENSG00000182534
MXRA8	matrix remodeling associated 8	Q9BRK3	54587	ENSG00000162576
MYADM	myeloid associated differentiation marker	Q96S97	91663	ENSG00000179820
MYADML	myeloid associated differentiation marker like (pseudogene)		151325	ENSG00000239649
MYADML2	myeloid associated differentiation marker like 2	A6NDP7	255275	ENSG00000185105
MYB	MYB proto-oncogene, transcription factor	P10242	4602	ENSG00000118513
MYB-AS1	MYB antisense RNA 1			ENSG00000236703
MYBBP1A	MYB binding protein 1a	Q9BQG0	10514	ENSG00000132382
MYBL1	MYB proto-oncogene like 1	P10243	4603	ENSG00000185697
MYBL2	MYB proto-oncogene like 2	P10244	4605	ENSG00000101057
MYBPC1	myosin binding protein C, slow type	Q00872	4604	ENSG00000196091
MYBPC2	myosin binding protein C, fast type	Q14324	4606	ENSG00000086967
MYBPC3	myosin binding protein C, cardiac	Q14896	4607	ENSG00000134571
MYBPH	myosin binding protein H	Q13203	4608	ENSG00000133055
MYBPHL	myosin binding protein H like	A2RUH7	343263	ENSG00000221986
MYC	MYC proto-oncogene, bHLH transcription factor	P01106	4609	ENSG00000136997
MYCBP	MYC binding protein	Q99417	26292	ENSG00000214114
MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	O75592	23077	ENSG00000005810
MYCBP2-AS1	MYCBP2 antisense RNA 1			ENSG00000236051
MYCBP2-AS2	MYCBP2 antisense RNA 2			ENSG00000229521
MYCBPAP	MYCBP associated protein	Q8TBZ2	84073	ENSG00000136449
MYCL	MYCL proto-oncogene, bHLH transcription factor	P12524	4610	ENSG00000116990
MYCLP1	MYCL pseudogene 1	P12525	4611	ENSG00000204053
MYCLP2	MYCL pseudogene 2		645136	ENSG00000228004
MYCLP3	MYCL pseudogene 3		9964	
MYCN	MYCN proto-oncogene, bHLH transcription factor	P04198	4613	ENSG00000134323
MYCNOS	MYCN opposite strand	P40205	10408	ENSG00000233718
MYCNUT	MYCN upstream transcript		103752554	ENSG00000223850
MYCT1	MYC target 1	Q8N699	80177	ENSG00000120279
MYD88	MYD88 innate immune signal transduction adaptor	Q99836	4615	ENSG00000172936
MYDGF	myeloid derived growth factor	Q969H8	56005	ENSG00000074842
MYEF2	myelin expression factor 2	Q9P2K5	50804	ENSG00000104177
MYEOV	myeloma overexpressed	Q96EZ4	26579	ENSG00000172927
MYF5	myogenic factor 5	P13349	4617	ENSG00000111049
MYF6	myogenic factor 6	P23409	4618	ENSG00000111046
MYH1	myosin heavy chain 1	P12882	4619	ENSG00000109061
MYH2	myosin heavy chain 2	Q9UKX2	4620	ENSG00000125414
MYH3	myosin heavy chain 3	P11055	4621	ENSG00000109063
MYH4	myosin heavy chain 4	Q9Y623	4622	ENSG00000264424
MYH6	myosin heavy chain 6	P13533	4624	ENSG00000197616
MYH7	myosin heavy chain 7	P12883	4625	ENSG00000092054
MYH7B	myosin heavy chain 7B	A7E2Y1	57644	ENSG00000078814
MYH8	myosin heavy chain 8	P13535	4626	ENSG00000133020
MYH9	myosin heavy chain 9	P35579	4627	ENSG00000100345
MYH10	myosin heavy chain 10	P35580	4628	ENSG00000133026
MYH11	myosin heavy chain 11	P35749	4629	ENSG00000133392
MYH13	myosin heavy chain 13	Q9UKX3	8735	ENSG00000006788
MYH14	myosin heavy chain 14	Q7Z406	79784	ENSG00000105357
MYH15	myosin heavy chain 15	Q9Y2K3	22989	ENSG00000144821
MYH16	myosin heavy chain 16 pseudogene	Q9H6N6	84176	ENSG00000002079
MYHAS	myosin heavy chain gene cluster antisense RNA		100128560	ENSG00000272975
MYL1	myosin light chain 1	P05976	4632	ENSG00000168530
MYL2	myosin light chain 2	P10916	4633	ENSG00000111245
MYL3	myosin light chain 3	P08590	4634	ENSG00000160808
MYL4	myosin light chain 4	P12829	4635	ENSG00000198336
MYL5	myosin light chain 5	Q02045	4636	ENSG00000215375
MYL6	myosin light chain 6	P60660	4637	ENSG00000092841
MYL6B	myosin light chain 6B	P14649	140465	ENSG00000196465
MYL6BP1	myosin light chain 6B pseudogene 1		100422437	ENSG00000228380
MYL6P1	myosin light chain 6 pseudogene 1		54043	ENSG00000226543
MYL6P2	myosin light chain 6 pseudogene 2		100431168	ENSG00000235808
MYL6P3	myosin light chain 6 pseudogene 3		100129561	ENSG00000227173
MYL6P4	myosin light chain 6 pseudogene 4		642627	ENSG00000240677
MYL6P5	myosin light chain 6 pseudogene 5		124685	ENSG00000228118
MYL7	myosin light chain 7	Q01449	58498	ENSG00000106631
MYL8P	myosin light chain 8, pseudogene		442204	ENSG00000229596
MYL9	myosin light chain 9	P24844	10398	ENSG00000101335
MYL10	myosin light chain 10	Q9BUA6	93408	ENSG00000106436
MYL12A	myosin light chain 12A	P19105	10627	ENSG00000101608
MYL12AP1	myosin light chain 12A pseudogene 1		157667	ENSG00000254387
MYL12B	myosin light chain 12B	O14950	103910	ENSG00000118680
MYL12BP1	myosin light chain 12B pseudogene 1		645094	ENSG00000260490
MYL12BP2	myosin light chain 12B pseudogene 2		391722	ENSG00000227765
MYLIP	myosin regulatory light chain interacting protein	Q8WY64	29116	ENSG00000007944
MYLK	myosin light chain kinase	Q15746	4638	ENSG00000065534
MYLK-AS1	MYLK antisense RNA 1		100506826	ENSG00000239523
MYLK-AS2	MYLK antisense RNA 2			ENSG00000250174
MYLK2	myosin light chain kinase 2	Q9H1R3	85366	ENSG00000101306
MYLK3	myosin light chain kinase 3	Q32MK0	91807	ENSG00000140795
MYLK4	myosin light chain kinase family member 4	Q86YV6	340156	ENSG00000145949
MYLKP1	myosin light chain kinase pseudogene 1		9430	ENSG00000228868
MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle	Q96A32	29895	ENSG00000180209
MYMK	myomaker, myoblast fusion factor	A6NI61	389827	ENSG00000187616
MYMX	myomixer, myoblast fusion factor	A0A1B0GTQ4	101929726	ENSG00000262179
MYMY1	moyamoya disease 1			
MYMY3	moyamoya disease 3			
MYNN	myoneurin	Q9NPC7	55892	ENSG00000085274
MYO1A	myosin IA	Q9UBC5	4640	ENSG00000166866
MYO1B	myosin IB	O43795	4430	ENSG00000128641
MYO1C	myosin IC	O00159	4641	ENSG00000197879
MYO1D	myosin ID	O94832	4642	ENSG00000176658
MYO1E	myosin IE	Q12965	4643	ENSG00000157483
MYO1F	myosin IF	O00160	4542	ENSG00000142347
MYO1G	myosin IG	B0I1T2	64005	ENSG00000136286
MYO1H	myosin IH	Q8N1T3	283446	ENSG00000174527
MYO3A	myosin IIIA	Q8NEV4	53904	ENSG00000095777
MYO3B	myosin IIIB	Q8WXR4	140469	ENSG00000071909
MYO3B-AS1	MYO3B antisense RNA 1		101929753	ENSG00000231898
MYO5A	myosin VA	Q9Y4I1	4644	ENSG00000197535
MYO5B	myosin VB	Q9ULV0	4645	ENSG00000167306
MYO5BP1	myosin VB pseudogene 1		441420	ENSG00000274680
MYO5BP2	myosin VB pseudogene 2		392335	ENSG00000238245
MYO5BP3	myosin VB pseudogene 3		441442	ENSG00000228656
MYO5C	myosin VC	Q9NQX4	55930	ENSG00000128833
MYO6	myosin VI	Q9UM54	4646	ENSG00000196586
MYO7A	myosin VIIA	Q13402	4647	ENSG00000137474
MYO7B	myosin VIIB	Q6PIF6	4648	ENSG00000169994
MYO9A	myosin IXA	B2RTY4	4649	ENSG00000066933
MYO9B	myosin IXB	Q13459	4650	ENSG00000099331
MYO10	myosin X	Q9HD67	4651	ENSG00000145555
MYO15A	myosin XVA	Q9UKN7	51168	ENSG00000091536
MYO15B	myosin XVB	Q96JP2	80022	ENSG00000266714
MYO16	myosin XVI	Q9Y6X6	23026	ENSG00000041515
MYO16-AS1	MYO16 antisense RNA 1			ENSG00000236242
MYO16-AS2	MYO16 antisense RNA 2			ENSG00000229938
MYO18A	myosin XVIIIA	Q92614	399687	ENSG00000196535
MYO18B	myosin XVIIIB	Q8IUG5	84700	ENSG00000133454
MYO19	myosin XIX	Q96H55	80179	ENSG00000278259
MYOC	myocilin	Q99972	4653	ENSG00000034971
MYOCD	myocardin	Q8IZQ8	93649	ENSG00000141052
MYOCOS	myocilin opposite strand	A0A1B0GUC4	110806290	ENSG00000283683
MYOD1	myogenic differentiation 1	P15172	4654	ENSG00000129152
MYOF	myoferlin	Q9NZM1	26509	ENSG00000138119
MYOG	myogenin	P15173	4656	ENSG00000122180
MYOM1	myomesin 1	P52179	8736	ENSG00000101605
MYOM2	myomesin 2	P54296	9172	ENSG00000036448
MYOM3	myomesin 3	Q5VTT5	127294	ENSG00000142661
MYOPARR	myogenin promoter associated myogenic regulatory antisense long non coding RNA		114004358	
MYORG	myogenesis regulating glycosidase (putative)	Q6NSJ0	57462	ENSG00000164976
MYOSLID	myocardin-induced smooth muscle lncRNA, inducer of differentiation		105373853	ENSG00000229647
MYOSLID-AS1	MYOSLID antisense RNA 1		101927865	
MYOT	myotilin	Q9UBF9	9499	ENSG00000120729
MYOZ1	myozenin 1	Q9NP98	58529	ENSG00000177791
MYOZ2	myozenin 2	Q9NPC6	51778	ENSG00000172399
MYOZ3	myozenin 3	Q8TDC0	91977	ENSG00000164591
MYP1	myopia 1 (X-linked)			
MYP2	myopia 2 (high grade, autosomal dominant)			
MYP3	myopia 3 (high grade, autosomal dominant)			
MYP4	myopia 4 (high grade, autosomal dominant)		393093	
MYP5	myopia 5 (high grade, autosomal dominant)		404682	
MYP7	myopia 7		553190	
MYP8	myopia 8		553192	
MYP9	myopia 9		553194	
MYP10	myopia 10		553195	
MYP11	myopia 11 (high grade, autosomal dominant)			
MYP12	myopia 12 (high grade, autosomal dominant)			
MYP13	myopia 13			
MYP14	myopia 14			
MYP15	myopia 15			
MYP16	myopia 16			
MYP17	myopia 17			
MYP18	myopia 18 (high grade, autosomal recessive)			
MYPN	myopalladin	Q86TC9	84665	ENSG00000138347
MYPOP	Myb related transcription factor, partner of profilin	Q86VE0	339344	ENSG00000176182
MYRF	myelin regulatory factor	Q9Y2G1	745	ENSG00000124920
MYRFL	myelin regulatory factor like	Q96LU7	196446	ENSG00000166268
MYRIP	myosin VIIA and Rab interacting protein	Q8NFW9	25924	ENSG00000170011
MYSA	myasthenic (Lambert-Eaton) syndrome antigen A		4655	
MYSM1	Myb like, SWIRM and MPN domains 1	Q5VVJ2	114803	ENSG00000162601
MYT1	myelin transcription factor 1	Q01538	4661	ENSG00000196132
MYT1L	myelin transcription factor 1 like	Q9UL68	23040	ENSG00000186487
MYT1L-AS1	MYT1L antisense RNA 1		730811	ENSG00000225619
MYZAP	myocardial zonula adherens protein	P0CAP1	100820829	ENSG00000263155
MZB1	marginal zone B and B1 cell specific protein	Q8WU39	51237	ENSG00000170476
MZF1	myeloid zinc finger 1	P28698	7593	ENSG00000099326
MZF1-AS1	MZF1 antisense RNA 1		100131691	ENSG00000267858
MZT1	mitotic spindle organizing protein 1	Q08AG7	440145	ENSG00000204899
MZT1P1	mitotic spindle organizing protein 1 pseudogene 1			ENSG00000271264
MZT1P2	mitotic spindle organizing protein 1 pseudogene 2		101929581	ENSG00000271404
MZT2A	mitotic spindle organizing protein 2A	Q6P582	653784	ENSG00000173272
MZT2B	mitotic spindle organizing protein 2B	Q6NZ67	80097	ENSG00000152082
N4BP1	NEDD4 binding protein 1	O75113	9683	ENSG00000102921
N4BP2	NEDD4 binding protein 2	Q86UW6	55728	ENSG00000078177
N4BP2L1	NEDD4 binding protein 2 like 1	Q5TBK1	90634	ENSG00000139597
N4BP2L2	NEDD4 binding protein 2 like 2	Q92802	10443	ENSG00000244754
N4BP2L2-IT2	N4BPL2 intronic transcript 2		116828	ENSG00000281026
N4BP3	NEDD4 binding protein 3	O15049	23138	ENSG00000145911
N6AMT1	N-6 adenine-specific DNA methyltransferase 1	Q9Y5N5	29104	ENSG00000156239
NAA10	N(alpha)-acetyltransferase 10, NatA catalytic subunit	P41227	8260	ENSG00000102030
NAA11	N(alpha)-acetyltransferase 11, NatA catalytic subunit	Q9BSU3	84779	ENSG00000156269
NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	Q9BXJ9	80155	ENSG00000164134
NAA16	N(alpha)-acetyltransferase 16, NatA auxiliary subunit	Q6N069	79612	ENSG00000172766
NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit	P61599	51126	ENSG00000173418
NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit	Q14CX7	80018	ENSG00000111300
NAA30	N(alpha)-acetyltransferase 30, NatC catalytic subunit	Q147X3	122830	ENSG00000139977
NAA35	N(alpha)-acetyltransferase 35, NatC auxiliary subunit	Q5VZE5	60560	ENSG00000135040
NAA38	N(alpha)-acetyltransferase 38, NatC auxiliary subunit	Q9BRA0	84316	ENSG00000183011
NAA40	N(alpha)-acetyltransferase 40, NatD catalytic subunit	Q86UY6	79829	ENSG00000110583
NAA50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	Q9GZZ1	80218	ENSG00000121579
NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	Q9H7X0	79903	ENSG00000122390
NAA80	N(alpha)-acetyltransferase 80, NatH catalytic subunit	Q93015	24142	ENSG00000243477
NAAA	N-acylethanolamine acid amidase	Q02083	27163	ENSG00000138744
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	Q9Y3Q0	10003	ENSG00000077616
NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1	Q9UQQ1	10004	ENSG00000168060
NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	Q58DX5	254827	ENSG00000177694
NAALADL2-AS1	NAALADL2 antisense RNA 1			ENSG00000225552
NAALADL2-AS2	NAALADL2 antisense RNA 2			ENSG00000226779
NAALADL2-AS3	NAALADL2 antisense RNA 3			ENSG00000230292
NAB1	NGFI-A binding protein 1	Q13506	4664	ENSG00000138386
NAB2	NGFI-A binding protein 2	Q15742	4665	ENSG00000166886
NABP1	nucleic acid binding protein 1	Q96AH0	64859	ENSG00000173559
NABP2	nucleic acid binding protein 2	Q9BQ15	79035	ENSG00000139579
NACA	nascent polypeptide associated complex subunit alpha	E9PAV3, Q13765	4666	ENSG00000196531
NACA2	nascent polypeptide associated complex subunit alpha 2	Q9H009	342538	ENSG00000253506
NACA3P	NACA family member 3, pseudogene		389240	ENSG00000121089
NACA4P	NACA family member 4, pseudogene	Q9BZK3	83955	ENSG00000228224
NACAD	NAC alpha domain containing	O15069	23148	ENSG00000136274
NACAP2	NACA pseudogene 2		651144	ENSG00000180230
NACAP5	NACA pseudogene 5		645108	ENSG00000249488
NACAP6	NACA pseudogene 6		100132778	ENSG00000248403
NACAP7	NACA pseudogene 7		101059973	ENSG00000218965
NACAP8	NACA pseudogene 8		101928685	ENSG00000257210
NACAP9	NACA pseudogene 9		100421926	
NACAP10	NACA pseudogene 10		100132812	ENSG00000254253
NACC1	nucleus accumbens associated 1	Q96RE7	112939	ENSG00000160877
NACC2	NACC family member 2	Q96BF6	138151	ENSG00000148411
NADK	NAD kinase	O95544	65220	ENSG00000008130
NADK2	NAD kinase 2, mitochondrial	Q4G0N4	133686	ENSG00000152620
NADK2-AS1	NADK2 antisense RNA 1			ENSG00000245711
NADSYN1	NAD synthetase 1	Q6IA69	55191	ENSG00000172890
NAE1	NEDD8 activating enzyme E1 subunit 1	Q13564	8883	ENSG00000159593
NAF1	nuclear assembly factor 1 ribonucleoprotein	Q96HR8	92345	ENSG00000145414
NAGA	alpha-N-acetylgalactosaminidase	P17050	4668	ENSG00000198951
NAGK	N-acetylglucosamine kinase	Q9UJ70	55577	ENSG00000124357
NAGLU	N-acetyl-alpha-glucosaminidase	P54802	4669	ENSG00000108784
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	Q9UK23	51172	ENSG00000103174
NAGPA-AS1	NAGPA antisense RNA 1		100507589	ENSG00000267072
NAGS	N-acetylglutamate synthase	Q8N159	162417	ENSG00000161653
NAIF1	nuclear apoptosis inducing factor 1	Q69YI7	203245	ENSG00000171169
NAIP	NLR family apoptosis inhibitory protein	Q13075	4671	ENSG00000249437
NALCN	sodium leak channel, non-selective	Q8IZF0	259232	ENSG00000102452
NALCN-AS1	NALCN antisense RNA 1		100885778	ENSG00000233009
NALT1	NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1		101928483	ENSG00000237886
NAMA	non-protein coding RNA, associated with MAP kinase pathway and growth arrest		100996569	ENSG00000271086
NAMPT	nicotinamide phosphoribosyltransferase	P43490	10135	ENSG00000105835
NAMPTP1	nicotinamide phosphoribosyltransferase pseudogene 1		646309	ENSG00000229644
NAMPTP2	nicotinamide phosphoribosyltransferase pseudogene 2		100132712	ENSG00000249229
NAMPTP3	nicotinamide phosphoribosyltransferase pseudogene 3			ENSG00000261053
NANOG	Nanog homeobox	Q9H9S0	79923	ENSG00000111704
NANOGNB	NANOG neighbor homeobox	Q7Z5D8	360030	ENSG00000205857
NANOGNBP1	NANOGNB pseudogene 1		100859926	ENSG00000226034
NANOGNBP2	NANOGNB pseudogene 2			ENSG00000256563
NANOGNBP3	NANOGNB pseudogene 3		100652831	ENSG00000270813
NANOGP1	Nanog homeobox pseudogene 1	Q8N7R0	404635	ENSG00000176654
NANOGP2	Nanog homeobox pseudogene 2		414131	ENSG00000228670
NANOGP3	Nanog homeobox pseudogene 3		340217	ENSG00000271373
NANOGP4	Nanog homeobox pseudogene 4		414132	ENSG00000237065
NANOGP5	Nanog homeobox pseudogene 5		414133	ENSG00000231697
NANOGP6	Nanog homeobox pseudogene 6		414134	ENSG00000227351
NANOGP7	Nanog homeobox pseudogene 7		414130	ENSG00000258774
NANOGP8	Nanog homeobox retrogene P8	Q6NSW7	388112	ENSG00000255192
NANOGP9	Nanog homeobox pseudogene 9		349386	ENSG00000231809
NANOGP10	Nanog homeobox pseudogene 10		349372	ENSG00000231750
NANOGP11	Nanog homeobox pseudogene 11		414135	ENSG00000233464
NANOS1	nanos C2HC-type zinc finger 1	Q8WY41	340719	ENSG00000188613
NANOS2	nanos C2HC-type zinc finger 2	P60321	339345	ENSG00000188425
NANOS3	nanos C2HC-type zinc finger 3	P60323	342977	ENSG00000187556
NANP	N-acetylneuraminic acid phosphatase	Q8TBE9	140838	ENSG00000170191
NANS	N-acetylneuraminate synthase	Q9NR45	54187	ENSG00000095380
NAP1L1	nucleosome assembly protein 1 like 1	P55209	4673	ENSG00000187109
NAP1L1P1	nucleosome assembly protein 1 like 1 pseudogene 1		729561	ENSG00000254759
NAP1L1P2	nucleosome assembly protein 1 like 1 pseudogene 2		100128894	ENSG00000229163
NAP1L1P3	nucleosome assembly protein 1 like 1 pseudogene 3		100130335	ENSG00000213371
NAP1L2	nucleosome assembly protein 1 like 2	Q9ULW6	4674	ENSG00000186462
NAP1L3	nucleosome assembly protein 1 like 3	Q99457	4675	ENSG00000186310
NAP1L4	nucleosome assembly protein 1 like 4	Q99733	4676	ENSG00000205531
NAP1L4P1	nucleosome assembly protein 1 like 4 pseudogene 1		728589	ENSG00000177173
NAP1L4P2	nucleosome assembly protein 1 like 4 pseudogene 2			ENSG00000224816
NAP1L4P3	nucleosome assembly protein 1 like 4 pseudogene 3		730174	ENSG00000234145
NAP1L5	nucleosome assembly protein 1 like 5	Q96NT1	266812	ENSG00000177432
NAP1L6	nucleosome assembly protein 1 like 6	A6NFF2	645996	ENSG00000204118
NAPA	NSF attachment protein alpha	P54920	8775	ENSG00000105402
NAPA-AS1	NAPA antisense RNA 1		100505681	ENSG00000268061
NAPB	NSF attachment protein beta	Q9H115	63908	ENSG00000125814
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D	Q6IQ20	222236	ENSG00000161048
NAPG	NSF attachment protein gamma	Q99747	8774	ENSG00000134265
NAPGP1	N-ethylmaleimide-sensitive factor attachment protein, gamma pseudogene 1		100288843	ENSG00000271408
NAPGP2	N-ethylmaleimide-sensitive factor attachment protein, gamma pseudogene 2		100422429	ENSG00000275906
NAPRT	nicotinate phosphoribosyltransferase	Q6XQN6	93100	ENSG00000147813
NAPSA	napsin A aspartic peptidase	O96009	9476	ENSG00000131400
NAPSB	napsin B aspartic peptidase, pseudogene		256236	ENSG00000131401
NARF	nuclear prelamin A recognition factor	Q9UHQ1	26502	ENSG00000141562
NARF-AS1	NARF antisense RNA 1			ENSG00000266445
NARF-IT1	NARF intronic transcript 1		100506001	ENSG00000266236
NARS	asparaginyl-tRNA synthetase	O43776	4677	ENSG00000134440
NARS2	asparaginyl-tRNA synthetase 2, mitochondrial	Q96I59	79731	ENSG00000137513
NARSP1	asparaginyl-tRNA synthetase pseudogene 1		319127	
NARSP2	asparaginyl-tRNA synthetase pseudogene 2		100287895	ENSG00000253789
NASP	nuclear autoantigenic sperm protein	P49321	4678	ENSG00000132780
NASPP1	nuclear autoantigenic sperm protein pseudogene 1		282694	
NAT1	N-acetyltransferase 1	P18440	9	ENSG00000171428
NAT2	N-acetyltransferase 2	P11245	10	ENSG00000156006
NAT8	N-acetyltransferase 8 (putative)	Q9UHE5	9027	ENSG00000144035
NAT8B	N-acetyltransferase 8B (putative, gene/pseudogene)	Q9UHF3	51471	ENSG00000204872
NAT8L	N-acetyltransferase 8 like	Q8N9F0	339983	ENSG00000185818
NAT9	N-acetyltransferase 9 (putative)	Q9BTE0	26151	ENSG00000109065
NAT10	N-acetyltransferase 10	Q9H0A0	55226	ENSG00000135372
NAT14	N-acetyltransferase 14 (putative)	Q8WUY8	57106	ENSG00000090971
NAT16	N-acetyltransferase 16 (putative)	Q8N8M0	375607	ENSG00000167011
NATD1	N-acetyltransferase domain containing 1	Q8N6N6	256302	ENSG00000274180
NATP	N-acetyltransferase pseudogene		11	ENSG00000253937
NAV1	neuron navigator 1	Q8NEY1	89796	ENSG00000134369
NAV2	neuron navigator 2	Q8IVL1	89797	ENSG00000166833
NAV2-AS1	NAV2 antisense RNA 1			ENSG00000254894
NAV2-AS2	NAV2 antisense RNA 2			ENSG00000254453
NAV2-AS3	NAV2 antisense RNA 3			ENSG00000254542
NAV2-AS4	NAV2 antisense RNA 4		399876	ENSG00000254622
NAV2-AS5	NAV2 antisense RNA 5		100874012	ENSG00000255043
NAV2-IT1	NAV2 intronic transcript 1			ENSG00000255270
NAV3	neuron navigator 3	Q8IVL0	89795	ENSG00000067798
NAXD	NAD(P)HX dehydratase	Q8IW45	55739	ENSG00000213995
NAXE	NAD(P)HX epimerase	Q8NCW5	128240	ENSG00000163382
NBAS	neuroblastoma amplified sequence	A2RRP1	51594	ENSG00000151779
NBAT1	neuroblastoma associated transcript 1		729177	ENSG00000260455
NBDY	negative regulator of P-body association	A0A0U1RRE5	550643	ENSG00000204272
NBEA	neurobeachin	Q8NFP9	26960	ENSG00000172915
NBEAL1	neurobeachin like 1	Q6ZS30	65065	ENSG00000144426
NBEAL2	neurobeachin like 2	Q6ZNJ1	23218	ENSG00000160796
NBEAP1	neurobeachin pseudogene 1	P0C6P0	606	ENSG00000258590
NBEAP2	neurobeachin pseudogene 2		100418881	
NBEAP3	neurobeachin pseudogene 3		100418905	ENSG00000223875
NBEAP4	neurobeachin pseudogene 4		100418897	
NBEAP5	neurobeachin pseudogene 5		100418903	ENSG00000277710
NBEAP6	neurobeachin pseudogene 6		100418904	
NBL1	NBL1, DAN family BMP antagonist	P41271	4681	ENSG00000158747
NBN	nibrin	O60934	4683	ENSG00000104320
NBPF1	NBPF member 1	Q3BBV0	55672	ENSG00000219481
NBPF2P	NBPF member 2, pseudogene		343381	ENSG00000227001
NBPF3	NBPF member 3	Q9H094	84224	ENSG00000142794
NBPF4	NBPF member 4	Q96M43	148545	ENSG00000196427
NBPF5P	NBPF member 5, pseudogene	Q86XG9	100507044	ENSG00000243967
NBPF6	NBPF member 6	Q5VWK0	653149	ENSG00000186086
NBPF7	NBPF member 7	P0C2Y1	343505	ENSG00000215864
NBPF8	NBPF member 8	Q3BBV2	728841	ENSG00000270231
NBPF9	NBPF member 9	P0DPF3	400818	ENSG00000269713
